ID,member_name,sitting_date,parliamentary_period,parliamentary_session,parliamentary_sitting,political_party,government,member_region,roles,member_gender,speech
1,κρητικος νικολαου παναγιωτης,03/07/1989,period 5,session 1,sitting 1,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male,παρακαλειτα γραμματ βουλγαρακ συνοδευς μακαρι αρχιεπισκοπ αθην πας ελλαδ σεραφειμ συνοδευοντ αυτον μελ ιερ συνοδ εισοδ αιθους βουλ προκειμεν τελεσθ αγιασμ συνεχει τελειτα καθιερωμεν αγιασμ
2,κρητικος νικολαου παναγιωτης,03/07/1989,period 5,session 1,sitting 1,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male,παρακαλειτα κυρι γραμματ συνοδευς ιερ συνοδ εκτ αιθους βουλ παρακαλειτα συναδελφ βουλευτ σαδικ αμετ ανηκ μωαμεθαν θρησκευμ προσελθ δως οριζομεν συνταγμ ορκ κοραν ορκιζ ονομ παντοδυναμ θε μον αυτ προφητ οποι ειναι μωαμεθ ειμαι πιστ πατριδ δημοκρατ πολιτευμ υπακου συνταγμ νομ εκπληρων ευσυνειδητ καθηκοντ
3,κρητικος νικολαου παναγιωτης,03/07/1989,period 5,session 1,sitting 1,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male,κυρι συναδελφ παρακαλ βουλ εξουσιοδοτ προεδρει επικυρως πρακτ σημεριν συνεδρ
4,,03/07/1989,period 5,session 1,sitting 1,βουλη,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],,,,μαλιστα μαλιστα
5,κρητικος νικολαου παναγιωτης,03/07/1989,period 5,session 1,sitting 1,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male,βουλ παρεσχ ζητηθεις εξουσιοδοτης συναινες βουλ ωρ 1027 λυ συνεδριας αυριο ημερ τριτ ιουλ 1989 ωρ 1800 θεμ ημερης διαταξ εκλογ προεδρ βουλ προεδρος γραμματ
6,κρητικος νικολαου παναγιωτης,04/07/1989,period 5,session 1,sitting 2,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male,υπαρχ καν κυρι συναδελφ οποι ψηφις καν κηρυσς περαιωμεν ψηφοφορ παρακαλ κυρι ψηφολεκτ μεταφερ ψηφοδοχ χωρ πρακτικογραφ προκειμεν αρχις διαλογ ψηφοδελτ γιν εξαγωγ αποτελεσμ σταθοπουλ παρακαλειτα εποπτευς διαλογ
7,κρητικος νικολαου παναγιωτης,04/07/1989,period 5,session 1,sitting 2,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male,κυρι βουλευτ εχ τιμ ανακοινως σωμ οτι βουλευτ εβρ υπουργ μακεδονιασθρακ παναγιωτ χατζηνικολα τηλεγραφημ δηλων οτι ψηφιζ υποψηφ νε δημοκρατ αθανας τσαλδαρ διοτ αδυνατ προσελθ λογ ματαιως πτης συνεπει βλαβ αεροσκαφ επισης κυρι βουλευτ εχ τιμ ανακοινως σωμ αποτελεσμ διεξαχθεις μυστικ ψηφοφορ εκλογ προεδρ σωμ διεξαχθεις μυστικ ψηφοδελτ ψηφοφορ εψηφις 298 βουλευτ καταμετρης διαλογ ψηφ ευρεθ οτι ελαβ αθανας τσαλδαρ 141 ψηφ γιανν χαραλαμποπουλ 126 ψηφ κα μαρ δαμανακ 30 ψηφ ευρεθ λευκ ψηφοδελτ κατοπιν αυτ συμφων αρθρ κανονισμ επειδη καν υποψηφ συναδελφ αξιωμ προεδρ συγκεντρως απολυτ πλειοψηφ συνολ βουλευτ επαναληφθ ψηφοφορ μεταξυ δυο πλειοψηφησαντ συναδελφ τσαλδαρ χαραλαμποπουλ κυρι συναδελφ μοιρασθ επομενως δυο ψηφοδελτ λευκ επαναληφθ ψηφοφορ αυτ τροπ καλ καταλογ κυρι ιωανν τραγακ νε δημοκρατ παρασκευ φουντ πασοκ ψηφοδοχ κυρι σπυρ ταλιαδουρ νε δημοκρατ δημητρ ρεππ πασοκ παρακαλ αρχις αναγνως καταλογ
8,κρητικος νικολαου παναγιωτης,04/07/1989,period 5,session 1,sitting 2,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male,υπαρχ καν κυρι συναδελφ εψηφις καν κηρυσς περαιωμεν ψηφοφορ παρακαλ κυρι ψηφολεκτ εποπτευοντ συναδελφ σωτηροπουλ προχωρ διαλογ ψηφοδελτ εξαγωγ αποτελεσμ προηγουμεν διαδικας κυρι βουλευτ εχ τιμ ανακοινως σωμ επιστολ βουλευτ συνασπισμ αριστερ προοδ απευθυν προεδρει βουλ οποι εχ εξης προεδρει βουλ παρακατ βουλευτ δηλων οτι συγκροτ βουλ κοινοβουλευτ ομαδ συνασπισμ αριστερ προοδ προεδρ χαριλα φλωρακ χαριλα φλωρακ λεωνιδ κυρκ νικ καλουδ ανδρουλακ δημητρ γαλαν νικολα γιανναρ γρηγορ γιωτ ευσταθ δαμανακ μαρ δραγασακ γιανν δρεττακ εμμανουηλ καππ κωνσταντιν κατσαρ ιωανν κορακ ευστρατ κοσιων παναγιωτ κοταμανιδ ευαγγελ κωστοπουλ δημητρ λεβεντ αθανας λεντακ ανδρε μπιτσαν ηλι νεστωρ στυλιαν παφιλ αθανασιοσσελιδ 0007 ρηγ κωνσταντιν σκοτινιωτ παναγιωτ σκυλακ αντων σπαθ θεοδωρ στριφταρ σπυρ φαρακ γρηγορ χατζηδημητρ τραϊανος
9,κρητικος νικολαου παναγιωτης,04/07/1989,period 5,session 1,sitting 2,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male,κυρι συναδελφ εχ τιμ ανακοινως αποτελεσμ διεξαχθεις επαναληπτ μυστικ ψηφοφορ ψηφις συνολ 298 κυρι βουλευτ καταμετρης διαλογ ψηφ ελαβ αθανας τσαλδαρ 144 ψηφ ιωανν χαραλαμποπουλ 124 ψηφ ευρεθ 30 λευκ ψηφοδελτ επομενως σχετ πλειοψηφ συμφων αρθρ παρ3 εδαφ κανονισμ βουλ εκλεγ προεδρ βουλ περιοδ αθανας τσαλδαρ παρακαλειτα καταλαβ προεδρ εδρ προεδρει ευχ επιτυχ εργ
